"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.03.2020","46,80","66,30","67,69","46,74","-","-28,59%"
"22.03.2020","65,54","74,08","76,74","36,24","-","-0,76%"
"15.03.2020","66,04","57,83","85,47","57,42","-","14,20%"
"08.03.2020","57,83","41,94","77,57","41,94","-","37,89%"
"01.03.2020","41,94","34,86","54,39","24,93","-","4,56%"
"23.02.2020","40,11","22,25","49,48","22,00","-","134,84%"
"16.02.2020","17,08","14,98","18,21","14,21","-","24,85%"
"09.02.2020","13,68","15,88","16,43","13,38","-","-11,57%"
"02.02.2020","15,47","18,64","18,88","14,70","-","-17,89%"
"26.01.2020","18,84","17,42","19,99","14,94","-","29,40%"
"19.01.2020","14,56","13,23","15,98","12,31","-","20,33%"
"12.01.2020","12,10","12,84","13,82","11,75","-","-3,66%"
"05.01.2020","12,56","15,45","16,39","12,09","-","-10,41%"
"29.12.2019","14,02","13,74","16,20","12,42","-","4,39%"
"22.12.2019","13,43","12,81","13,72","11,72","-","7,35%"
"15.12.2019","12,51","12,47","12,78","11,71","-","-0,95%"
"08.12.2019","12,63","14,25","16,90","12,25","-","-7,27%"
"01.12.2019","13,62","12,69","17,99","12,55","-","7,92%"
"24.11.2019","12,62","12,51","12,83","11,42","-","2,27%"
"17.11.2019","12,34","12,39","14,17","12,16","-","2,41%"
"10.11.2019","12,05","13,15","13,90","11,92","-","-0,17%"
"03.11.2019","12,07","12,68","13,39","12,00","-","-1,87%"
"27.10.2019","12,30","13,01","13,95","12,19","-","-2,77%"
"20.10.2019","12,65","14,24","15,12","12,62","-","-11,23%"
"13.10.2019","14,25","15,66","16,50","13,31","-","-8,54%"
"06.10.2019","15,58","18,27","20,38","15,11","-","-8,57%"
"29.09.2019","17,04","17,23","21,46","15,79","-","-1,05%"
"22.09.2019","17,22","15,35","18,69","14,33","-","12,40%"
"15.09.2019","15,32","14,89","15,84","13,31","-","11,50%"
"08.09.2019","13,74","15,26","16,52","13,51","-","-8,40%"
"01.09.2019","15,00","20,96","21,15","14,91","-","-20,97%"
"25.08.2019","18,98","20,34","21,64","17,09","-","-4,48%"
"18.08.2019","19,87","17,93","21,07","15,51","-","7,58%"
"11.08.2019","18,47","17,87","24,10","17,52","-","2,78%"
"04.08.2019","17,97","19,96","24,81","16,82","-","2,04%"
"28.07.2019","17,61","12,15","20,11","12,15","-","44,82%"
"21.07.2019","12,16","14,55","14,70","11,69","-","-15,85%"
"14.07.2019","14,45","12,58","14,50","12,24","-","16,63%"
"07.07.2019","12,39","13,73","14,71","12,28","-","-6,70%"
"30.06.2019","13,28","13,85","14,64","12,04","-","-11,94%"
"23.06.2019","15,08","15,46","16,68","15,08","-","-2,08%"
"16.06.2019","15,40","15,65","16,03","13,19","-","0,79%"
"09.06.2019","15,28","16,30","16,70","15,21","-","-6,26%"
"02.06.2019","16,30","19,41","19,75","15,33","-","-12,88%"
"26.05.2019","18,71","16,55","19,72","15,90","-","18,04%"
"19.05.2019","15,85","15,88","18,05","14,42","-","-0,69%"
"12.05.2019","15,96","18,62","21,32","14,86","-","-0,50%"
"05.05.2019","16,04","12,89","23,38","12,89","-","24,63%"
"28.04.2019","12,87","13,04","15,92","12,65","-","1,10%"
"21.04.2019","12,73","13,21","14,30","12,08","-","5,29%"
"14.04.2019","12,09","12,46","13,14","11,03","-","0,67%"
"07.04.2019","12,01","13,55","14,39","11,95","-","-6,32%"
"31.03.2019","12,82","13,90","14,27","12,17","-","-6,49%"
"24.03.2019","13,71","17,76","17,85","13,64","-","-16,81%"
"17.03.2019","16,48","13,13","17,52","12,37","-","27,95%"
"10.03.2019","12,88","16,28","16,43","12,50","-","-19,75%"
"03.03.2019","16,05","13,77","18,33","13,38","-","18,28%"
"24.02.2019","13,57","13,91","16,17","13,41","-","0,44%"
"17.02.2019","13,51","15,65","16,16","13,51","-","-9,39%"
"10.02.2019","14,91","16,17","17,27","14,79","-","-5,15%"
"03.02.2019","15,72","16,72","17,89","15,04","-","-2,60%"
"27.01.2019","16,14","18,56","20,42","16,08","-","-7,35%"
"20.01.2019","17,42","18,53","22,02","17,31","-","-2,13%"
"13.01.2019","17,80","19,84","20,27","17,17","-","-2,14%"
"06.01.2019","18,19","22,06","22,80","18,12","-","-14,92%"
"30.12.2018","21,38","27,59","28,53","21,19","-","-24,56%"
"23.12.2018","28,34","29,29","36,20","27,43","-","-5,88%"
"16.12.2018","30,11","22,36","31,35","21,97","-","39,20%"
"09.12.2018","21,63","23,95","25,94","20,34","-","-6,89%"
"02.12.2018","23,23","16,04","25,94","15,94","-","28,56%"
"25.11.2018","18,07","20,78","20,80","18,03","-","-16,03%"
"18.11.2018","21,52","18,78","23,81","18,52","-","18,63%"
"11.11.2018","18,14","17,26","22,97","17,25","-","4,49%"
"04.11.2018","17,36","20,58","20,87","16,09","-","-11,02%"
"28.10.2018","19,51","24,48","27,86","18,05","-","-19,25%"
"21.10.2018","24,16","19,38","27,52","18,82","-","21,47%"
"14.10.2018","19,89","21,97","22,89","17,06","-","-6,66%"
"07.10.2018","21,31","16,05","28,84","15,27","-","43,79%"
"30.09.2018","14,82","11,99","17,36","11,34","-","22,28%"
"23.09.2018","12,12","12,46","13,22","11,55","-","3,77%"
"16.09.2018","11,68","12,72","13,75","11,10","-","-3,23%"
"09.09.2018","12,07","15,09","15,20","11,93","-","-18,88%"
"02.09.2018","14,88","13,13","15,63","13,12","-","15,71%"
"26.08.2018","12,86","12,37","14,03","11,87","-","7,26%"
"19.08.2018","11,99","12,57","13,29","11,65","-","-5,14%"
"12.08.2018","12,64","14,50","16,86","12,40","-","-3,95%"
"05.08.2018","13,16","11,91","13,82","10,17","-","13,06%"
"29.07.2018","11,64","13,63","14,53","11,07","-","-10,67%"
"22.07.2018","13,03","13,47","14,26","11,60","-","1,32%"
"15.07.2018","12,86","12,46","13,58","11,44","-","5,58%"
"08.07.2018","12,18","13,42","14,15","11,62","-","-8,90%"
"01.07.2018","13,37","17,70","18,08","13,34","-","-16,90%"
"24.06.2018","16,09","15,07","19,61","14,56","-","16,85%"
"17.06.2018","13,77","12,79","15,18","12,18","-","14,94%"
"10.06.2018","11,98","12,52","13,16","11,88","-","-1,64%"
"03.06.2018","12,18","13,91","13,91","11,22","-","-9,51%"
"27.05.2018","13,46","14,39","18,78","13,37","-","1,82%"
"20.05.2018","13,22","13,44","14,60","12,29","-","-1,49%"
"13.05.2018","13,42","12,95","15,01","12,50","-","6,09%"
"06.05.2018","12,65","15,32","15,56","12,65","-","-14,35%"
"29.04.2018","14,77","15,39","18,66","10,91","-","-4,15%"
"22.04.2018","15,41","17,29","19,84","15,25","-","-8,71%"
"15.04.2018","16,88","17,59","17,66","14,57","-","-3,04%"
"08.04.2018","17,41","21,27","22,02","17,26","-","-18,99%"
"01.04.2018","21,49","21,07","25,72","18,57","-","7,61%"
